#Id,x,y,z,rho0,rho0_max,rho0_min,rs,rs_max,rs_min,r_max,r_vir,c
85000263937,539.657400,491.928200,456.802200,382835.539908,403971.139235,362218.669548,0.079879,0.081775,0.077987,0.723007,0.604449,7.567044
85000506808,489.671000,520.718100,547.149800,62259.014911,66521.200997,58052.025441,0.137379,0.143023,0.131719,0.628404,0.479892,3.493206
85006679637,478.738600,539.701800,497.082600,435705.461718,749572.974482,126373.817374,0.023386,0.027622,0.019035,0.251040,0.196193,8.389279
85001488279,545.950300,453.245400,529.514400,1732595.673126,2026245.088273,1432810.967297,0.022400,0.023585,0.021200,0.487776,0.337853,15.082427
85003503814,477.621400,539.306900,511.159200,2516871.658831,3145440.512467,1904773.803698,0.015465,0.016906,0.014037,0.203810,0.000000,-99.000000
85005264871,534.109600,452.579500,515.537800,341105.778150,1554108.904416,14946.746040,0.028543,0.036663,0.020552,0.202717,0.000000,-99.000000
85001194992,472.577200,547.033600,499.446700,397728.091469,448745.664893,345941.550010,0.046116,0.048443,0.043739,0.460071,0.361374,7.836186
85004541698,457.220200,470.616900,519.120100,1369250.919409,2688232.254434,228619.522290,0.016197,0.018245,0.014204,0.246438,0.220645,13.622350
85005331967,541.829500,514.546000,457.404100,323528.051942,536747.835069,114427.751133,0.031109,0.034974,0.027354,0.215743,0.000000,-99.000000
85004351905,499.906700,467.581600,532.430200,1744085.484283,2273867.531869,1223287.962936,0.016305,0.017789,0.014844,0.279018,0.235756,14.459207
85004101596,536.101100,475.707100,522.450300,336525.404767,481061.092731,191135.888382,0.030225,0.033435,0.026964,0.366535,0.224749,7.435982
85004228843,525.908400,537.364900,505.616700,1094119.981754,1460426.619919,726813.192351,0.019439,0.021473,0.017426,0.209325,0.000000,-99.000000
85000646117,460.345800,547.525800,490.523800,225533.550351,245664.168079,205413.113241,0.074651,0.077720,0.071642,0.617635,0.452523,6.061859
85002896949,456.545300,546.015300,489.694100,1140904.605806,1508152.405740,771827.635992,0.023892,0.025889,0.021864,0.328577,0.270347,11.315384
85004489178,479.158200,520.609100,461.138900,36397.804208,52908.975597,20001.449278,0.076744,0.086051,0.067491,0.315045,0.213838,2.786389
85000002501,477.881500,482.067800,456.966000,152417.166683,153457.675411,151360.757788,0.305841,0.306794,0.304875,2.814972,1.594806,5.214498
85002000211,510.208600,478.149600,542.157200,1493416.916906,1828662.164507,1167065.438602,0.021388,0.022937,0.019870,0.402832,0.296833,13.878389
